country,Left Score,Right Score,Score,Pref
US,28,36,74,Right
AU,28,34,72,Right
US,28,31,69,Right
US,30,36,72,Right
AU,37,34,63,None
NI,47,37,56,None
IN,36,35,65,Right
US,27,33,72,Right
FI,28,39,77,Right
RO,50,28,44,Left
US,32,33,67,Right
SG,47,26,45,Left
US,2,0,64,None
PH,31,30,65,Right
BN,34,35,67,Right
AU,39,21,48,Left
US,35,39,70,Right
US,42,27,51,Left
US,40,36,62,None
US,49,13,30,Left
LB,42,30,54,Left
ZA,11,45,100,Right
AP,42,25,49,Left
GB,24,30,72,Right
US,43,28,51,Left
US,47,36,55,Left
US,38,27,55,Left
US,29,19,56,None
US,27,32,71,Right
US,29,29,66,Right
US,35,23,54,Left
US,24,34,76,Right
US,36,30,60,None
US,36,32,62,None
US,43,28,51,Left
US,29,36,73,Right
US,46,26,46,Left
PL,35,38,69,Right
IN,25,36,77,Right
US,28,31,69,Right
US,40,30,56,None
US,30,31,67,Right
US,29,28,65,Right
US,30,22,58,None
US,36,37,67,Right
US,24,28,70,Right
FJ,35,26,57,None
US,42,34,58,None
US,40,29,55,Left
US,34,32,64,None
ES,45,33,54,Left
US,51,17,32,Left
US,26,28,68,Right
US,32,34,68,Right
US,33,26,59,None
US,37,28,57,None
US,31,25,60,None
US,36,30,60,None
AU,39,24,51,Left
US,40,27,53,Left
US,49,30,47,Left
ZA,35,29,60,None
US,28,28,66,Right
US,23,30,73,Right
US,23,30,73,Right
US,24,31,73,Right
ZA,30,37,73,Right
MX,35,34,65,Right
DE,28,31,69,Right
US,30,31,67,Right
MY,31,33,68,Right
DE,25,35,76,Right
GB,26,30,70,Right
IN,47,35,54,Left
CA,22,40,84,Right
MY,41,25,50,Left
US,29,29,66,Right
AT,29,34,71,Right
ID,30,32,68,Right
AU,25,27,68,Right
US,28,31,69,Right
US,28,29,67,Right
US,41,25,50,Left
US,37,21,50,Left
GB,41,22,47,Left
EU,35,31,62,None
US,22,30,74,Right
US,39,30,57,None
US,23,35,78,Right
US,29,26,63,None
PL,35,40,71,Right
AE,40,36,62,None
US,29,20,57,None
EU,30,31,67,Right
US,25,31,72,Right
EC,48,30,48,Left
US,31,36,71,Right
CA,31,28,63,None
US,38,30,58,None
GB,36,30,60,None
US,35,27,58,None
US,31,21,56,None
GB,25,29,70,Right
US,26,36,76,Right
GB,24,26,68,Right
US,21,37,82,Right
US,22,41,85,Right
US,42,24,48,Left
US,35,27,58,None
US,43,35,58,None
US,29,27,64,None
US,34,24,56,None
US,25,34,75,Right
GB,44,29,51,Left
GB,23,27,70,Right
US,30,33,69,Right
US,28,39,77,Right
US,51,33,48,Left
US,35,24,55,Left
AU,33,26,59,None
AU,42,26,50,Left
US,34,27,59,None
EC,17,38,87,Right
BW,22,32,76,Right
BR,29,34,71,Right
US,30,27,63,None
US,26,27,67,Right
US,39,37,64,None
IN,35,31,62,None
US,25,32,73,Right
AU,22,35,79,Right
US,26,29,69,Right
US,46,28,48,Left
AU,34,26,58,None
GB,31,30,65,Right
US,29,32,69,Right
AU,34,31,63,None
AU,46,35,55,Left
MY,35,32,63,None
US,35,29,60,None
US,26,27,67,Right
US,33,32,65,Right
US,27,26,65,Right
US,26,23,63,None
US,47,24,43,Left
US,30,33,69,Right
US,38,28,56,None
US,30,33,69,Right
US,30,35,71,Right
US,29,29,66,Right
US,26,29,69,Right
US,36,22,52,Left
US,32,28,62,None
US,36,31,61,None
US,32,25,59,None
US,30,23,59,None
US,25,24,65,Right
IN,46,32,52,Left
GB,39,35,62,None
US,53,17,30,Left
US,27,29,68,Right
US,35,17,48,Left
US,33,22,55,Left
US,33,27,60,None
US,52,18,32,Left
US,44,28,50,Left
US,30,37,73,Right
US,26,28,68,Right
US,28,27,65,Right
US,35,31,62,None
US,26,32,72,Right
US,32,38,72,Right
US,45,36,57,None
US,37,34,63,None
US,47,28,47,Left
US,25,23,64,None
US,27,38,77,Right
ZA,43,27,50,Left
DE,17,32,81,Right
US,36,30,60,None
US,31,37,72,Right
US,28,31,69,Right
US,42,30,54,Left
US,39,26,53,Left
US,35,29,60,None
US,29,30,67,Right
US,53,37,50,Left
US,26,35,75,Right
US,39,19,46,Left
US,24,35,77,Right
US,28,33,71,Right
US,45,32,53,Left
US,27,27,66,Right
US,22,33,77,Right
US,34,30,62,None
US,23,35,78,Right
US,39,29,56,None
US,33,24,57,None
US,49,18,35,Left
US,24,31,73,Right
US,22,22,66,Right
US,37,18,47,Left
US,41,28,53,Left
US,34,28,60,None
US,38,22,50,Left
US,33,24,57,None
US,45,14,35,Left
US,25,30,71,Right
US,21,35,80,Right
US,30,27,63,None
US,33,34,67,Right
US,21,26,71,Right
US,27,35,74,Right
US,29,22,59,None
TR,32,32,66,Right
ZA,49,26,43,Left
ZA,41,31,56,None
GB,43,27,50,Left
PT,36,23,53,Left
MX,34,26,58,None
US,40,30,56,None
IE,40,28,54,Left
CA,44,41,63,None
GB,32,39,73,Right
US,28,25,63,None
US,25,37,78,Right
US,27,31,70,Right
US,37,29,58,None
US,29,23,60,None
US,38,27,55,Left
US,38,35,63,None
US,30,36,72,Right
US,37,25,54,Left
US,40,26,52,Left
US,33,35,68,Right
US,50,24,40,Left
US,25,31,72,Right
US,23,31,74,Right
US,36,24,54,Left
US,39,36,63,None
US,25,31,72,Right
US,31,33,68,Right
US,23,22,65,Right
US,50,30,46,Left
US,30,29,65,Right
US,38,32,60,None
US,22,37,81,Right
ZA,37,35,64,None
US,29,29,66,Right
US,36,25,55,Left
US,36,26,56,None
US,36,31,61,None
US,48,31,49,Left
US,35,29,60,None
US,37,26,55,Left
US,49,31,48,Left
US,24,29,71,Right
US,37,35,64,None
US,25,19,60,None
US,29,40,77,Right
US,41,37,62,None
US,26,31,71,Right
US,41,30,55,Left
US,30,43,79,Right
US,45,26,47,Left
US,30,37,73,Right
US,42,30,54,Left
US,39,25,52,Left
US,37,21,50,Left
US,27,41,80,Right
US,33,27,60,None
SV,28,31,69,Right
GB,23,33,76,Right
BR,21,33,78,Right
US,36,33,63,None
EG,49,23,40,Left
US,35,35,66,Right
US,42,29,53,Left
GB,28,33,71,Right
GR,36,28,58,None
US,42,20,44,Left
RS,23,41,84,Right
MX,47,36,55,Left
GB,25,37,78,Right
IT,28,33,71,Right
PH,38,30,58,None
US,28,29,67,Right
US,41,25,50,Left
US,38,28,56,None
US,46,33,53,Left
US,27,39,78,Right
US,35,26,57,None
US,37,28,57,None
ID,42,36,60,None
US,32,29,63,None
US,33,21,54,Left
US,30,31,67,Right
CA,34,28,60,None
CA,32,29,63,None
LK,26,37,77,Right
IE,33,37,70,Right
US,30,34,70,Right
AU,30,39,75,Right
IN,49,19,36,Left
PT,28,29,67,Right
IN,40,33,59,None
AU,46,28,48,Left
US,45,35,56,None
DK,41,32,57,None
MY,36,23,53,Left
ZA,37,23,52,Left
US,35,36,67,Right
US,34,36,68,Right
US,34,30,62,None
FI,49,24,41,Left
KE,15,17,68,Right
US,27,24,63,None
US,33,34,67,Right
PK,35,28,59,None
DE,31,27,62,None
BR,29,39,76,Right
US,38,35,63,None
CA,34,33,65,Right
HU,43,26,49,Left
US,33,29,62,None
US,51,26,41,Left
US,41,19,44,Left
CA,36,29,59,None
US,33,42,75,Right
US,30,37,73,Right
US,26,34,74,Right
US,37,28,57,None
US,45,30,51,Left
TH,24,22,64,None
US,34,35,67,Right
US,32,31,65,Right
TH,31,25,60,None
US,28,29,67,Right
US,22,39,83,Right
US,26,34,74,Right
US,47,37,56,None
DE,32,27,61,None
AU,39,29,56,None
MX,29,25,62,None
IN,28,31,69,Right
IN,36,33,63,None
US,40,28,54,Left
US,38,34,62,None
IN,47,25,44,Left
US,37,30,59,None
QA,40,24,50,Left
US,44,31,53,Left
AU,32,34,68,Right
NL,24,27,69,Right
US,24,30,72,Right
ZA,25,42,83,Right
US,34,16,48,Left
PH,25,31,72,Right
US,36,32,62,None
US,30,31,67,Right
US,28,33,71,Right
NO,30,41,77,Right
AU,26,31,71,Right
CA,32,26,60,None
MY,30,29,65,Right
US,52,28,42,Left
US,49,21,38,Left
US,36,31,61,None
US,41,23,48,Left
US,31,21,56,None
US,35,35,66,Right
GB,34,22,54,Left
US,33,28,61,None
ZA,41,31,56,None
CA,37,33,62,None
US,28,28,66,Right
US,41,37,62,None
RU,29,35,72,Right
US,21,38,83,Right
CA,29,31,68,Right
DK,24,33,75,Right
US,37,37,66,Right
US,28,41,79,Right
EC,51,30,45,Left
US,43,23,46,Left
EC,28,32,70,Right
US,25,32,73,Right
VN,31,33,68,Right
ID,33,36,69,Right
GB,41,35,60,None
US,36,31,61,None
NZ,29,22,59,None
ID,36,28,58,None
US,19,37,84,Right
US,41,28,53,Left
EU,51,17,32,Left
US,32,28,62,None
AU,37,18,47,Left
US,35,30,61,None
US,33,29,62,None
RU,29,30,67,Right
US,37,33,62,None
US,34,29,61,None
US,31,28,63,None
DE,30,28,64,None
PL,35,37,68,Right
US,29,34,71,Right
GB,40,20,46,Left
NZ,33,24,57,None
SA,23,23,66,Right
PL,37,34,63,None
US,30,24,60,None
US,35,30,61,None
DZ,25,37,78,Right
US,31,27,62,None
IN,44,25,47,Left
US,39,24,51,Left
US,28,33,71,Right
US,26,36,76,Right
US,35,33,64,None
US,37,28,57,None
DK,34,34,66,Right
SG,33,35,68,Right
MY,41,35,60,None
US,48,27,45,Left
SG,34,27,59,None
MW,37,28,57,None
ZA,30,33,69,Right
IT,44,25,47,Left
HU,35,22,53,Left
LU,42,24,48,Left
US,30,39,75,Right
US,25,35,76,Right
TH,31,35,70,Right
US,49,29,46,Left
QA,33,27,60,None
PL,36,29,59,None
US,30,24,60,None
US,44,38,60,None
ID,38,28,56,None
JO,47,29,48,Left
GB,29,36,73,Right
ZA,37,38,67,Right
US,22,25,69,Right
GB,35,35,66,Right
NL,40,28,54,Left
IN,34,31,63,None
PL,36,32,62,None
US,33,27,60,None
US,42,32,56,None
RO,37,36,65,Right
MY,51,25,40,Left
US,41,30,55,Left
EU,31,25,60,None
IE,37,30,59,None
ZA,35,29,60,None
US,38,28,56,None
US,38,26,54,Left
GB,40,27,53,Left
US,40,26,52,Left
GB,46,35,55,Left
CA,25,29,70,Right
US,29,19,56,None
CA,30,30,66,Right
US,32,34,68,Right
US,32,33,67,Right
PH,29,23,60,None
IN,41,29,54,Left
SA,40,32,58,None
CA,30,19,55,Left
ID,31,29,64,None
US,35,35,66,Right
ID,33,28,61,None
AU,41,32,57,None
US,44,24,46,Left
US,32,37,71,Right
US,51,31,46,Left
SE,45,21,42,Left
PK,38,29,57,None
IR,43,30,53,Left
ID,29,29,66,Right
US,31,23,58,None
US,33,23,56,None
US,39,38,65,Right
MY,28,32,70,Right
IN,32,32,66,Right
